month,department,channel,applied,screened,interviewed,offered,hired
2024-12,Finance & Accounting,Employee Referral,3,2,1,1,1
2025-01,Finance & Accounting,Employee Referral,2,1,1,1,1
2025-02,Finance & Accounting,Employee Referral,3,2,1,1,1
2025-03,Finance & Accounting,Employee Referral,5,4,3,2,2
2025-04,Finance & Accounting,Employee Referral,6,4,3,2,2
2025-05,Finance & Accounting,Employee Referral,7,5,4,3,3
2025-06,Finance & Accounting,Employee Referral,4,3,2,1,1
2025-07,Finance & Accounting,Employee Referral,3,2,1,1,1
2025-08,Finance & Accounting,Employee Referral,8,6,4,3,3
2025-09,Finance & Accounting,Employee Referral,9,7,5,3,3
2025-10,Finance & Accounting,Employee Referral,4,3,2,1,1
2025-11,Finance & Accounting,Employee Referral,5,4,3,2,2
2025-12,Finance & Accounting,Employee Referral,5,4,3,2,2
2024-01,Finance & Accounting,Agency,3,2,1,1,1
2024-02,Finance & Accounting,Agency,13,8,4,3,2
2024-03,Finance & Accounting,Agency,8,5,3,2,2
2024-04,Finance & Accounting,Agency,10,6,3,2,2
2024-05,Finance & Accounting,Agency,6,4,2,1,1
2024-06,Finance & Accounting,Agency,2,1,1,1,1
2024-07,Finance & Accounting,Agency,13,9,6,4,3
2024-08,Finance & Accounting,Agency,6,4,3,2,2
2024-09,Finance & Accounting,Agency,6,4,2,2,2
2024-10,Finance & Accounting,Agency,8,5,3,2,2
2024-11,Finance & Accounting,Agency,1,1,1,1,1
2024-12,Finance & Accounting,Agency,7,5,3,2,2
2025-01,Finance & Accounting,Agency,7,4,2,1,1
2025-02,Finance & Accounting,Agency,4,3,2,1,1
2025-03,Finance & Accounting,Agency,8,5,3,2,2
2025-04,Finance & Accounting,Agency,10,7,4,3,3
2025-05,Finance & Accounting,Agency,5,3,2,1,1
2025-06,Finance & Accounting,Agency,5,3,2,1,1
2025-07,Finance & Accounting,Agency,5,3,2,1,1
2025-08,Finance & Accounting,Agency,4,3,2,1,1
2025-09,Finance & Accounting,Agency,10,7,4,3,2
2025-10,Finance & Accounting,Agency,4,2,1,1,1
2025-11,Finance & Accounting,Agency,6,4,2,1,1
2025-12,Finance & Accounting,Agency,5,3,2,1,1
2024-01,Finance & Accounting,Campus,2,1,1,1,1
2024-02,Finance & Accounting,Campus,5,3,2,1,1
2024-03,Finance & Accounting,Campus,2,1,1,0,0
2024-04,Finance & Accounting,Campus,2,1,1,1,1
2024-05,Finance & Accounting,Campus,2,1,1,1,1
2024-06,Finance & Accounting,Campus,5,3,2,1,1
2024-07,Finance & Accounting,Campus,1,1,1,1,1
2024-08,Finance & Accounting,Campus,5,3,2,1,1
2024-09,Finance & Accounting,Campus,5,3,2,1,1
2024-10,Finance & Accounting,Campus,3,2,1,1,1
2024-11,Finance & Accounting,Campus,4,2,1,1,1
2024-12,Finance & Accounting,Campus,8,4,2,1,1
2025-01,Finance & Accounting,Campus,3,2,1,1,1
2025-02,Finance & Accounting,Campus,5,3,2,1,1
2025-03,Finance & Accounting,Campus,3,2,1,1,1
2025-04,Finance & Accounting,Campus,2,1,1,1,1
2025-05,Finance & Accounting,Campus,7,4,3,2,1
2025-06,Finance & Accounting,Campus,5,3,2,1,1
2025-07,Finance & Accounting,Campus,2,1,1,1,1
2025-08,Finance & Accounting,Campus,2,1,1,1,1
2025-09,Finance & Accounting,Campus,6,4,2,1,1
2025-10,Finance & Accounting,Campus,6,3,2,1,1
2025-11,Finance & Accounting,Campus,3,2,1,1,1
2025-12,Finance & Accounting,Campus,6,3,2,1,1
2024-01,Finance & Accounting,Internal Transfer,3,3,2,1,1
2024-02,Finance & Accounting,Internal Transfer,1,1,1,1,1
2024-03,Finance & Accounting,Internal Transfer,0,0,0,0,0
2024-04,Finance & Accounting,Internal Transfer,0,0,0,0,0
2024-05,Finance & Accounting,Internal Transfer,4,4,3,3,2
2024-06,Finance & Accounting,Internal Transfer,2,2,2,2,2
2024-07,Finance & Accounting,Internal Transfer,1,1,1,1,1
2024-08,Finance & Accounting,Internal Transfer,3,3,3,3,2
2024-09,Finance & Accounting,Internal Transfer,5,4,4,3,2
2024-10,Finance & Accounting,Internal Transfer,3,3,3,2,2
2024-11,Finance & Accounting,Internal Transfer,4,3,3,2,2
2024-12,Finance & Accounting,Internal Transfer,2,2,2,2,2
2025-01,Finance & Accounting,Internal Transfer,1,1,1,1,1
2025-02,Finance & Accounting,Internal Transfer,3,3,3,2,2
2025-03,Finance & Accounting,Internal Transfer,2,2,2,2,2
2025-04,Finance & Accounting,Internal Transfer,3,3,3,2,2
2025-05,Finance & Accounting,Internal Transfer,2,2,2,2,2
2025-06,Finance & Accounting,Internal Transfer,3,3,3,2,2
2025-07,Finance & Accounting,Internal Transfer,1,1,1,1,1
2025-08,Finance & Accounting,Internal Transfer,2,2,2,1,1
2025-09,Finance & Accounting,Internal Transfer,1,1,1,1,1
2025-10,Finance & Accounting,Internal Transfer,3,3,3,2,2
2025-11,Finance & Accounting,Internal Transfer,7,7,6,5,4
2025-12,Finance & Accounting,Internal Transfer,3,3,3,3,3
2024-01,Marketing,Job Board,31,11,6,3,2
2024-02,Marketing,Job Board,22,8,4,2,2
2024-03,Marketing,Job Board,28,9,4,2,1
2024-04,Marketing,Job Board,27,11,6,3,2
2024-05,Marketing,Job Board,21,9,6,4,3
2024-06,Marketing,Job Board,17,5,3,2,2
2024-07,Marketing,Job Board,29,12,6,4,3
2024-08,Marketing,Job Board,29,11,6,3,2
2024-09,Marketing,Job Board,14,6,3,2,1
2024-10,Marketing,Job Board,25,9,5,3,2
2024-11,Marketing,Job Board,18,7,4,2,1
2024-12,Marketing,Job Board,20,9,4,2,2
2025-01,Marketing,Job Board,23,8,5,3,2
2025-02,Marketing,Job Board,34,14,8,5,4
2025-03,Marketing,Job Board,18,7,4,2,2
2025-04,Marketing,Job Board,26,9,4,2,2
2025-05,Marketing,Job Board,17,7,4,2,1
2025-06,Marketing,Job Board,21,9,5,3,2
2025-07,Marketing,Job Board,20,6,3,2,2
2025-08,Marketing,Job Board,20,9,5,3,2
2025-09,Marketing,Job Board,26,9,5,3,2
2025-10,Marketing,Job Board,22,9,5,3,2
2025-11,Marketing,Job Board,17,6,4,2,2
2025-12,Marketing,Job Board,19,7,4,2,2
2024-01,Marketing,Employee Referral,5,4,3,2,2
2024-02,Marketing,Employee Referral,4,3,2,1,1
2024-03,Marketing,Employee Referral,5,3,2,2,2
2024-04,Marketing,Employee Referral,6,4,3,2,2
2024-05,Marketing,Employee Referral,5,4,3,2,2
2024-06,Marketing,Employee Referral,5,4,3,2,2
2024-07,Marketing,Employee Referral,3,2,2,2,2
2024-08,Marketing,Employee Referral,6,5,4,3,3
2024-09,Marketing,Employee Referral,7,5,4,3,3
2024-10,Marketing,Employee Referral,3,2,2,2,2
2024-11,Marketing,Employee Referral,7,5,4,3,3
2024-12,Marketing,Employee Referral,4,3,2,1,1
2025-01,Marketing,Employee Referral,6,4,3,2,2
2025-02,Marketing,Employee Referral,5,3,2,1,1
2025-03,Marketing,Employee Referral,7,5,4,3,3
2025-04,Marketing,Employee Referral,3,2,2,1,1
2025-05,Marketing,Employee Referral,6,4,3,2,2
2025-06,Marketing,Employee Referral,7,5,4,3,3
2025-07,Marketing,Employee Referral,10,7,5,4,3
2025-08,Marketing,Employee Referral,3,2,1,1,1
2025-09,Marketing,Employee Referral,8,6,5,4,4
2025-10,Marketing,Employee Referral,6,4,3,2,2
2025-11,Marketing,Employee Referral,6,4,3,2,2
2025-12,Marketing,Employee Referral,6,5,4,3,3
2024-01,Marketing,Agency,11,7,4,3,2
2024-02,Marketing,Agency,3,2,1,1,1
2024-03,Marketing,Agency,8,5,3,2,2
2024-04,Marketing,Agency,10,6,3,2,2
2024-05,Marketing,Agency,9,6,4,3,3
2024-06,Marketing,Agency,7,4,3,2,2
2024-07,Marketing,Agency,6,4,2,1,1
2024-08,Marketing,Agency,4,2,1,1,1
2024-09,Marketing,Agency,10,7,4,3,2
2024-10,Marketing,Agency,8,5,3,2,2
2024-11,Marketing,Agency,7,5,3,2,2
2024-12,Marketing,Agency,10,6,3,2,2
2025-01,Marketing,Agency,6,4,2,1,1
2025-02,Marketing,Agency,8,6,4,2,2
2025-03,Marketing,Agency,7,5,3,2,2
2025-04,Marketing,Agency,7,4,3,2,2
2025-05,Marketing,Agency,5,3,2,1,1
2025-06,Marketing,Agency,12,7,4,3,3
2025-07,Marketing,Agency,8,6,3,2,2
2025-08,Marketing,Agency,6,4,2,1,1
2025-09,Marketing,Agency,6,4,2,1,1
2025-10,Marketing,Agency,9,6,4,3,2
2025-11,Marketing,Agency,8,5,3,2,2
2025-12,Marketing,Agency,6,4,2,1,1
2024-01,Marketing,Campus,4,2,1,1,1
2024-02,Marketing,Campus,4,2,1,1,1
2024-03,Marketing,Campus,3,2,1,1,1
2024-04,Marketing,Campus,3,2,1,1,1
2024-05,Marketing,Campus,6,3,2,1,1
2024-06,Marketing,Campus,6,3,2,1,1
2024-07,Marketing,Campus,7,4,2,1,1
2024-08,Marketing,Campus,6,4,3,2,1
2024-09,Marketing,Campus,5,3,2,1,1
2024-10,Marketing,Campus,6,3,2,1,1
2024-11,Marketing,Campus,3,1,1,1,1
2024-12,Marketing,Campus,5,3,2,1,1
2025-01,Marketing,Campus,6,3,2,1,1
2025-02,Marketing,Campus,3,2,1,1,1
2025-03,Marketing,Campus,5,3,2,1,1
2025-04,Marketing,Campus,6,4,2,1,1
2025-05,Marketing,Campus,3,2,1,1,1
2025-06,Marketing,Campus,2,1,1,1,1
2025-07,Marketing,Campus,7,4,2,1,1
2025-08,Marketing,Campus,5,3,2,1,1
2025-09,Marketing,Campus,1,1,1,1,1
2025-10,Marketing,Campus,3,2,1,1,1
2025-11,Marketing,Campus,4,2,1,1,1
2025-12,Marketing,Campus,3,2,1,1,1
2024-01,Marketing,Internal Transfer,4,3,3,2,2
2024-02,Marketing,Internal Transfer,1,1,1,1,1
2024-03,Marketing,Internal Transfer,6,5,4,3,3
2024-04,Marketing,Internal Transfer,4,4,3,2,2
2024-05,Marketing,Internal Transfer,1,1,1,1,1
2024-06,Marketing,Internal Transfer,2,2,2,1,1
2024-07,Marketing,Internal Transfer,2,2,2,2,2
2024-08,Marketing,Internal Transfer,2,2,2,2,2
2024-09,Marketing,Internal Transfer,1,1,1,1,1
2024-10,Marketing,Internal Transfer,2,2,2,2,2
2024-11,Marketing,Internal Transfer,0,0,0,0,0
2024-12,Marketing,Internal Transfer,4,4,3,2,2
2025-01,Marketing,Internal Transfer,1,1,1,1,1
2025-02,Marketing,Internal Transfer,0,0,0,0,0
2025-03,Marketing,Internal Transfer,3,3,3,2,2
2025-04,Marketing,Internal Transfer,3,2,2,2,2
2025-05,Marketing,Internal Transfer,1,1,1,1,1
2025-06,Marketing,Internal Transfer,2,2,2,1,1
2025-07,Marketing,Internal Transfer,2,2,2,2,2
2025-08,Marketing,Internal Transfer,2,2,2,2,2
2025-09,Marketing,Internal Transfer,1,1,1,1,1
2025-10,Marketing,Internal Transfer,1,1,1,1,1
2025-11,Marketing,Internal Transfer,5,4,3,2,2
2025-12,Marketing,Internal Transfer,2,2,2,2,2
